address,attempts,attempts_refunded,mint_received,refund_missing
CVBHTGQRNFRtTvNPCvf1G4mcVy93TwB9QAxGhrM6sWRr,2,1,1,0
EqBGGE6bEZqKwh2Mf86Tpx5ogq3X4cMNLeBjaeEyp52R,2,1,1,0
ALsuQMqEeJ9EHvDLNyYGcFTCwZYvSSihXk8kg6QNDsTV,2,1,1,0
2c8ENokBWXTPAMy24ehhN4psuXvkgmbjPdQpF237gEcN,2,1,1,0
HwzRfjeBgHuuCoDN1wfJuoRSu1qrwwBoaVueZGrnEJ3E,2,1,1,0
21JPnXigB5eAyUmVpgQczb1AtsCWfCe7aToY9YL54Xqt,1,0,1,0
4U2sLfejp1zrfakJaePt6mqLmaWHokFgbcrXVoBy5Agq,1,0,1,0
AQfzZVTj5JqVR1hiFSK5f1a3SCEEm5xNPHYfFLu2ToSR,3,2,1,0
3E4p1Q3oj82ghfuT4L12WM97ewdbkepsvzRofqz4pcXX,1,0,1,0
EAwFs2v8KXJJgUBVkAeX1dbDMff3iDUXvgw9vhAbj5HR,1,0,1,0
85nhadM9EzDNjtkAuBnU8sVk6Gf8MzWWgJnQktDYXxM,4,3,1,0
9pCrBkLtvhM8sisAabvgho1Jsk5NLka3RmF4yLRej5rV,3,2,1,0
EiaQHkRb1fsFTcGQNP7quASQUchgYZ41NEoArHrtssSz,1,0,1,0
DjLqiGSJdhPP8fYwLM63jnRUdYFPETnr3Uh1NMUJjowU,1,0,1,0
FtzfJqhrNCJYp8efiDHPa7KN1C8bDYRST9GPQ14HGZR5,1,0,1,0
8uLR2wXQvJSP3WqyraZZNpPGqQZK7ucmRbpNCad1RbuM,2,1,1,0
6mge8NjYicQBNgXMWPyMH8GZXUYzuwfgXtN5bVPMe6QQ,5,4,1,0
6fptjHeGZMLe6auqELaAbMzG3f9bPrnxFjCEjJ4Y7dFV,5,4,1,0
48qBnTooyfCe6crduaSUEckrEy3bg8pmUn67Ze6sva9g,1,0,1,0
4PcWVCaikNiiYS1i3L1Ldb735ebkCL279Lg8tMrbX5fH,1,0,1,0
6hoSiCLToRbv82iRei1C4V9qkbdR5YfMKsHkMyy4SFHk,1,0,1,0
6DVG4tbxcymXZkEeV6ysi6kzcAHSkc8cSedqsksPeRWg,5,4,1,0
85qm4onzKTFcqemNFNoSXiUxPevDK5HP3bkvswbzZieU,1,0,1,0
HfgAFqWQDwSyWqGnPaAZUiNeQQ8pFr1gLnKUDN3y6hWh,4,3,1,0
2qGnT61SmX8ym6SrBaNx6Q6UT9FuNH16CZnLoQU7ykCC,3,2,1,0
7tUZXiBgDsukrK6xpgbxnPMspu3i3CyCc4ccAs1syUH6,6,5,1,0
4E1nUcfoKAwAPhbrLsQkvehgzPWeeVDwz9T9rP8ZhbBm,5,4,1,0
DCQBp3EZVEzDfQY9Dvtc77o3iLazqkrg1vGvTBUubbwb,1,0,1,0
5RtMCWMvMgUFHDye6R5gKKEsJ4ApmGDLeBGkrtBCy3iv,5,4,1,0
7VwcgX4MRQ78jnFP5fNEp8gXjbH9pS9VQMwuroYfTeRF,1,0,1,0
KATSgbF3vzqsqCWZZvL3eWvkHvhCTjLfEeZq4ENXmYf,5,4,1,0
EhGM1x9MisR21uv5thd2PeERNNoZbVE4QsRKQxbbHioc,2,1,1,0
GP6CZkAyvYB9LBLNSkRxUL18fuQw9yNQiUTFJ1R8sXp4,1,0,1,0
3LL61haWYsV6Sa3W36c8urytBNZ8agqWfyD3ZDK71Emz,2,1,1,0
34rVqj6zdjYRm4LBqnChXsi96Mg6SK7cv85pEg4rEg3h,3,2,1,0
GthicZ7UnffiUgqp2oWtnY4MnjXyYyCK7qetrGRkxV9p,1,0,1,0
74Z5xhdXpXqtNivsXRDYdkJ65ETd3XzJvY43vMV4xJVy,3,2,1,0
62vHtzUMrZN3f7io8apGRaqYbzqL3niNWh1tXPXZoQhu,4,3,1,0
Cb829EmxhNhkVtoWDw4jZdu5HuQwYyW4tU7HhQEdhf8M,5,4,1,0
9hY9HU4JM1M5RrgtB442BvffCdBFWvzjMYupuJeiaBxW,3,2,1,0
33A8k16jhQ8NLb4BsvNe5ZcNmHs3z3feaTu5ud5ZbnT3,5,4,1,0
6ae8co8dEavEaeGzzp5aMX76ARbtcXNCXavxvWxhAs6g,1,0,1,0
12DM4iFMB7FSz7DV5aFkzDYDLsdbSmXc88vf69ULKVk3,1,0,1,0
8iJj5hsv5z5uuYnhnGqjpd5FSKuHo8hmN1NmshSnmY6k,2,1,1,0
2TZKaoAnhrfHGQD1MkDa4uTERrPk8VejXLKWiLJeaTtF,1,0,1,0
2Pwh6zjkQKaTzrc13giCSN7yWRPpxPmqxvhcWKurGgPn,2,1,1,0
8QF4Z5A6Ks5UAqymdbBuPYUWf7sxCX4MvxdWygfLCJ7S,1,0,1,0
7N6u3RQRWjhfX8CvjoKszaHLveGb1d9FaPDfjpBAkY8z,6,5,1,0
6gi9YWL9QaJMp8ogGPTg6GNXhpVYe3okuDnRVsH2PQpE,1,0,1,0
CtKghiR3F6xE9TM1KgoVCJQ9YpPYZiS4ikRVWkssjqx9,5,4,1,0
2eE3uwQPXhsQtdKasbsJGCvkb1VWaUD8EfdWj8CjM3tL,5,4,1,0
DFDcQutt7ofRkt9opKzEZXxDkcpiEaeYN8Qft3ih6a7,1,0,1,0
C2naZViHb9PG6E8RmXDgvAo1AL3vFr4Njfr6AzA7E85w,4,3,1,0
